,ano_indices,ano_targets
538,790,222
539,793,222
540,812,222
541,818,222
542,819,222
543,836,222
544,838,222
545,840,222
546,849,222
547,862,222
548,884,222
549,900,222
550,913,222
551,922,222
552,773,223
553,777,224
554,744,225
555,801,225
556,920,225
557,911,226
558,754,227
559,918,228
560,913,229
561,745,230
562,282,231
563,768,231
564,780,231
565,769,232
566,509,233
567,141,234
568,481,235
569,492,235
570,510,235
571,706,235
572,817,235
573,830,235
574,896,235
575,831,236
576,280,237
577,879,238
578,913,238
579,808,239
580,261,240
581,622,240
582,177,241
583,275,241
584,814,241
585,838,241
586,914,241
587,924,241
588,518,242
589,812,243
590,746,244
591,913,245
592,460,246
593,584,246
594,757,246
595,913,246
596,916,246
597,894,247
598,757,248
599,285,249
600,143,250
601,274,251
602,337,251
603,755,251
604,758,251
605,776,251
606,833,251
607,858,251
608,897,251
609,917,251
610,922,251
611,734,252
612,491,253
613,668,253
614,698,253
615,704,253
616,712,253
617,736,253
618,780,253
619,791,253
620,793,253
621,803,253
622,840,253
623,853,253
624,884,253
625,914,253
626,917,253
627,925,253
628,457,254
629,785,255
630,362,256
631,381,256
632,744,256
633,805,256
634,834,256
635,918,256
636,920,256
637,898,257
638,771,258
639,902,259
640,922,259
641,445,260
642,476,261
643,556,261
644,745,261
645,757,261
646,773,261
647,808,261
648,810,261
649,831,261
650,894,261
651,512,262
652,744,263
653,118,264
654,300,265
655,478,265
656,743,265
657,744,265
658,778,265
659,25,266
660,207,266
661,436,266
662,897,266
663,902,266
664,925,266
665,201,267
666,921,268
667,752,269
668,773,269
669,778,269
670,744,270
671,731,271
672,870,272
673,696,273
674,395,274
675,902,274
676,797,275
677,651,276
678,250,277
679,321,277
680,573,277
681,640,277
682,704,277
683,743,277
684,145,278
685,264,278
686,752,279
687,778,279
688,801,279
689,915,279
690,21,280
691,900,281
692,79,282
693,99,282
694,128,282
695,143,282
696,144,282
697,270,282
698,579,282
699,512,283
700,572,283
701,700,283
702,782,284
703,745,285
704,124,286
705,445,286
706,758,286
707,767,286
708,801,286
709,834,286
710,878,286
711,897,286
712,914,286
713,922,286
714,30,287
715,866,288
716,24,289
717,475,290
718,138,291
719,774,292
720,896,292
721,899,292
722,83,293
723,150,293
724,526,293
725,731,293
726,790,293
727,301,294
728,694,295
729,693,296
730,729,296
731,797,296
732,805,296
733,896,296
734,903,296
735,434,297
736,645,298
737,380,299
738,421,299
739,584,299
740,789,299
741,797,299
742,918,299
743,904,300
744,646,301
745,723,301
746,749,301
747,778,301
748,785,301
749,692,302
750,703,302
751,765,302
752,815,302
753,849,302
754,744,303
755,456,304
756,888,305
757,889,306
758,889,307
759,915,307
760,917,307
761,901,308
762,526,309
763,521,310
764,556,310
765,569,310
766,570,310
767,591,310
768,739,310
769,863,310
770,917,310
771,744,311
772,762,311
773,773,311
774,778,311
775,895,312
776,102,313
777,450,313
778,493,313
779,772,313
780,820,313
781,840,313
782,884,314
783,526,315
784,744,316
785,772,316
786,895,316
787,898,316
788,532,317
789,913,318
790,561,319
791,866,320
792,288,321
793,449,322
794,490,323
795,507,324
796,902,325
797,373,326
798,811,326
799,913,326
800,445,327
801,461,327
802,778,328
803,894,329
804,774,330
805,913,331
806,913,332
807,777,333
808,721,334
809,834,335
810,362,336
811,675,336
812,838,336
813,526,337
814,691,338
815,709,338
816,775,338
817,885,338
818,775,339
819,163,340
820,327,341
821,783,342
822,366,343
823,696,344
824,471,345
825,695,345
826,714,345
827,745,345
828,915,345
829,595,346
830,771,347
831,920,348
832,696,349
833,527,350
834,913,351
835,250,352
836,712,352
837,730,352
838,775,352
839,813,352
840,849,352
841,863,352
842,913,352
843,925,352
844,490,353
845,565,353
846,635,353
847,637,353
848,649,353
849,696,353
850,699,353
851,744,353
852,838,353
853,136,354
854,137,354
855,745,354
856,896,354
857,895,355
858,694,356
859,711,357
860,760,357
861,803,357
862,835,357
863,848,357
864,893,357
865,913,357
866,280,358
867,774,359
868,694,360
869,702,360
870,779,361
871,394,362
872,778,362
873,811,362
874,812,362
875,772,363
876,828,364
877,899,365
878,280,366
879,325,366
880,621,366
881,641,366
882,650,366
883,657,366
884,687,366
885,696,366
886,714,366
887,723,366
888,730,366
889,764,366
890,775,366
891,817,366
892,824,366
893,841,366
894,321,367
895,709,368
896,260,369
897,286,369
898,745,369
899,925,369
900,933,369
901,896,370
902,747,371
903,526,372
904,694,373
905,717,374
906,162,375
907,744,375
908,767,375
909,778,375
910,789,375
911,797,375
912,805,375
913,845,375
914,821,376
915,913,377
916,785,378
917,696,379
918,645,380
919,715,380
920,720,380
921,774,380
922,777,380
923,839,380
924,853,380
925,859,380
926,900,380
927,232,381
928,366,382
929,922,383
930,688,384
931,95,385
932,797,385
933,913,385
934,940,385
935,454,386
936,539,387
937,210,388
938,444,389
939,885,389
940,908,389
941,933,389
942,874,390
943,448,391
944,505,391
945,348,392
946,366,392
947,440,392
948,677,392
949,813,392
950,907,392
951,939,392
952,918,393
953,800,394
954,200,395
955,449,395
956,623,396
957,143,397
958,331,397
959,523,397
960,696,397
961,741,397
962,563,398
963,641,398
964,914,399
965,782,400
966,843,400
967,892,401
968,922,401
969,362,402
970,703,403
971,25,404
972,902,404
973,636,405
974,451,406
975,704,407
976,148,408
977,831,409
978,638,410
979,855,411
980,790,412
981,786,413
982,478,414
983,510,414
984,601,414
985,662,414
986,783,414
987,786,414
988,849,414
989,896,415
990,913,415
991,287,416
992,660,416
993,757,416
994,922,416
995,898,417
996,696,418
997,744,419
998,456,420
999,562,420
1000,579,420
1001,395,421
1002,583,421
1003,695,421
1004,869,421
1005,884,421
1006,924,421
1007,767,422
1008,397,423
1009,456,423
1010,645,423
1011,696,423
1012,745,423
1013,775,423
1014,565,424
1015,780,425
1016,711,426
1017,716,426
1018,720,426
1019,752,426
1020,773,426
1021,778,426
1022,881,426
1023,915,426
1024,680,427
1025,803,427
1026,844,427
1027,532,428
1028,715,428
1029,752,428
1030,778,428
1031,780,428
1032,881,428
1033,915,428
1034,644,429
1035,896,429
1036,914,429
1037,737,430
1038,694,431
1039,744,432
1040,778,432
1041,921,433
1042,659,434
1043,636,435
1044,902,436
1045,767,437
1046,459,438
1047,715,439
1048,148,440
1049,765,441
1050,699,442
1051,914,443
1052,337,444
1053,903,445
1054,897,446
1055,642,447
1056,912,448
1057,21,449
1058,698,450
1059,645,451
1060,386,452
1061,467,453
1062,778,453
1063,896,454
1064,316,455
1065,345,455
1066,461,455
1067,463,455
1068,504,455
1069,554,455
1070,568,455
1071,696,455
1072,717,455
1073,570,456
1074,701,456
1075,756,456
1076,871,456
1077,919,456
1078,932,456
1079,907,457
1080,768,458
1081,347,459
1082,366,459
1083,409,459
1084,430,459
1085,744,459
1086,778,459
1087,787,459
1088,805,459
1089,810,459
1090,818,459
1091,820,459
1092,845,459
1093,132,460
1094,314,461
1095,899,462
1096,921,462
1097,712,463
1098,755,463
1099,778,463
1100,787,463
1101,805,463
1102,878,463
1103,898,463
1104,928,463
1105,212,464
1106,75,465
1107,392,466
1108,209,467
1109,778,468
1110,910,469
1111,789,470
1112,797,470
1113,820,470
1114,838,470
1115,842,470
1116,845,470
1117,928,470
1118,920,471
1119,79,472
1120,96,472
1121,142,472
1122,176,472
1123,711,472
1124,782,473
1125,712,474
1126,737,474
1127,148,475
1128,715,475
1129,744,475
1130,696,476
1131,463,477
1132,934,477
1133,82,478
1134,136,478
1135,556,478
1136,739,478
1137,758,478
1138,770,478
1139,933,478
1140,588,479
1141,78,480
1142,778,481
1143,907,481
1144,915,481
1145,582,482
